"Office Location","Activity Type","Site Name","Pollution Level Detected"
Melbourne,"Water Quality Test","Richley Reserve",386.99
Brisbane,"Air Quality Check","Awaba State Forest",386.98
Canberra,"Water Quality Test","Blackbutt Nature Reserve",386.92
Sydney,"Soil Quality Test","Mount Sugarloaf",386.89
Darwin,"Water Quality Test","Merewether Beach",386.84
"Gold Coast","Water Quality Test","Merewether Beach",386.81
Melbourne,"Noise Level Measurement","Heaton State Forest",386.72
Melbourne,"Water Quality Test","Newcastle Beach",386.62
Darwin,"Soil Quality Test","Belmont Wetlands State Park",386.59
Melbourne,"Soil Quality Test","Nobbys Beach",386.58
Canberra,"Water Quality Test","Jesmond Park",386.55
Perth,"Water Quality Test","Nobbys Beach",386.54
Sydney,"Air Quality Check","Hunter Wetlands Centre",386.53
Sydney,"Noise Level Measurement","Belmont Wetlands State Park",386.51
Brisbane,"Noise Level Measurement","Awaba State Forest",386.51
Hobart,"Water Quality Test","Charlestown Park",386.5
Hobart,"Water Quality Test","Blackbutt Nature Reserve",386.48
Newcastle,"Air Quality Check","Charlestown Park",386.45
Newcastle,"Soil Quality Test","Nobbys Beach",386.38
Perth,"Soil Quality Test","Charlestown Park",386.31
Hobart,"Noise Level Measurement","Charlestown Park",386.28
Sydney,"Noise Level Measurement","Richley Reserve",386.26
Perth,"Air Quality Check","Awaba State Forest",386.25
Newcastle,"Soil Quality Test","Heaton State Forest",386.25
Canberra,"Water Quality Test","Heaton State Forest",386.14
Canberra,"Noise Level Measurement","Waratah Park",386.1
Canberra,"Air Quality Check","Waratah Park",386.08
Canberra,"Air Quality Check","Waratah Park",386.02
Hobart,"Soil Quality Test","Watagan Mountains",385.99
Brisbane,"Water Quality Test","Toronto Foreshore",385.99
Hobart,"Noise Level Measurement","Warners Bay Foreshore",385.95
Brisbane,"Air Quality Check","Lambton Park",385.95
Perth,"Water Quality Test","Richley Reserve",385.9
Perth,"Soil Quality Test","Warners Bay Foreshore",385.8
Darwin,"Soil Quality Test","Merewether Beach",385.8
Perth,"Air Quality Check","Croudace Bay Park",385.73
Adelaide,"Air Quality Check","Speers Point Park",385.72
Canberra,"Soil Quality Test","Richley Reserve",385.67
Canberra,"Water Quality Test","Glenrock State Conservation Area",385.66
Brisbane,"Noise Level Measurement","Redhead Beach",385.64
Newcastle,"Air Quality Check","Mount Sugarloaf",385.63
Newcastle,"Noise Level Measurement","Watagan Mountains",385.61
Melbourne,"Noise Level Measurement","Heaton State Forest",385.59
Sydney,"Noise Level Measurement","Awaba State Forest",385.58
Sydney,"Soil Quality Test","Awaba State Forest",385.53
Hobart,"Noise Level Measurement","Glenrock State Conservation Area",385.51
Melbourne,"Air Quality Check","Newcastle Beach",385.49
Canberra,"Air Quality Check","Richley Reserve",385.37
Adelaide,"Air Quality Check","Hunter Wetlands Centre",385.35
Brisbane,"Noise Level Measurement","Merewether Beach",385.25
Brisbane,"Noise Level Measurement","Awaba State Forest",385.25
Hobart,"Noise Level Measurement","Croudace Bay Park",385.16
Adelaide,"Noise Level Measurement","Speers Point Park",385.14
Newcastle,"Water Quality Test","Charlestown Park",385.12
Brisbane,"Air Quality Check","Belmont Wetlands State Park",385.08
Sydney,"Water Quality Test","Braye Park",385.03
Darwin,"Water Quality Test","King Edward Park",384.98
Sydney,"Water Quality Test","Braye Park",384.97
Brisbane,"Noise Level Measurement","Braye Park",384.88
Darwin,"Noise Level Measurement","Toronto Foreshore",384.86
Brisbane,"Noise Level Measurement","Lambton Park",384.75
Perth,"Noise Level Measurement","Jesmond Park",384.75
Hobart,"Soil Quality Test","Warners Bay Foreshore",384.72
Sydney,"Noise Level Measurement","Braye Park",384.64
Melbourne,"Noise Level Measurement","Croudace Bay Park",384.64
Sydney,"Noise Level Measurement","Braye Park",384.6
Melbourne,"Air Quality Check","Croudace Bay Park",384.58
Darwin,"Air Quality Check","Awaba State Forest",384.58
"Gold Coast","Soil Quality Test","Awaba State Forest",384.53
Darwin,"Air Quality Check","Braye Park",384.49
Sydney,"Air Quality Check","Awaba State Forest",384.42
Newcastle,"Soil Quality Test","Jesmond Park",384.37
Darwin,"Noise Level Measurement","Toronto Foreshore",384.36
Hobart,"Noise Level Measurement","Waratah Park",384.35
Brisbane,"Noise Level Measurement","Toronto Foreshore",384.32
Adelaide,"Water Quality Test","Lambton Park",384.31
Newcastle,"Water Quality Test","Charlestown Park",384.29
Darwin,"Soil Quality Test","King Edward Park",384.28
Newcastle,"Water Quality Test","Watagan Mountains",384.24
Sydney,"Air Quality Check","Mount Sugarloaf",384.22
Adelaide,"Air Quality Check","King Edward Park",384.17
Darwin,"Air Quality Check","Lambton Park",384.11
Perth,"Soil Quality Test","Richley Reserve",384.09
"Gold Coast","Noise Level Measurement","Merewether Beach",384
Melbourne,"Soil Quality Test","Jesmond Park",383.93
Newcastle,"Air Quality Check","Nobbys Beach",383.9
Hobart,"Noise Level Measurement","Waratah Park",383.89
Newcastle,"Air Quality Check","Croudace Bay Park",383.87
"Gold Coast","Soil Quality Test","Speers Point Park",383.86
Sydney,"Water Quality Test","Merewether Beach",383.82
Darwin,"Soil Quality Test","Mount Sugarloaf",383.79
Newcastle,"Noise Level Measurement","Newcastle Beach",383.78
Melbourne,"Noise Level Measurement","Waratah Park",383.78
Brisbane,"Soil Quality Test","Blackbutt Nature Reserve",383.75
Perth,"Water Quality Test","Redhead Beach",383.7
Sydney,"Noise Level Measurement","Speers Point Park",383.68
Sydney,"Water Quality Test","Redhead Beach",383.65
Perth,"Air Quality Check","Waratah Park",383.64
Sydney,"Soil Quality Test","Merewether Beach",383.61
Newcastle,"Soil Quality Test","Nobbys Beach",383.6
Hobart,"Soil Quality Test","Glenrock State Conservation Area",383.59
Perth,"Air Quality Check","Richley Reserve",383.55
Brisbane,"Air Quality Check","Waratah Park",383.51
Adelaide,"Noise Level Measurement","Lambton Park",383.43
Perth,"Noise Level Measurement","Heaton State Forest",383.38
Adelaide,"Soil Quality Test","King Edward Park",383.36
Sydney,"Water Quality Test","King Edward Park",383.28
Hobart,"Air Quality Check","Blackbutt Nature Reserve",383.25
Brisbane,"Water Quality Test","Redhead Beach",383.21
Newcastle,"Water Quality Test","Watagan Mountains",383.14
Melbourne,"Water Quality Test","Merewether Beach",383.12
Sydney,"Soil Quality Test","Braye Park",383.08
Brisbane,"Air Quality Check","King Edward Park",383
Sydney,"Water Quality Test","Hunter Wetlands Centre",382.98
Sydney,"Noise Level Measurement","Mount Sugarloaf",382.97
Perth,"Soil Quality Test","Awaba State Forest",382.84
Adelaide,"Water Quality Test","Warners Bay Foreshore",382.81
Darwin,"Soil Quality Test","Richley Reserve",382.66
Adelaide,"Soil Quality Test","Awaba State Forest",382.65
Hobart,"Soil Quality Test","Waratah Park",382.61
Adelaide,"Water Quality Test","Awaba State Forest",382.61
Perth,"Soil Quality Test","Nobbys Beach",382.6
Sydney,"Air Quality Check","Merewether Beach",382.55
Hobart,"Noise Level Measurement","Croudace Bay Park",382.54
Hobart,"Water Quality Test","Blackbutt Nature Reserve",382.53
Hobart,"Noise Level Measurement","Glenrock State Conservation Area",382.51
Brisbane,"Noise Level Measurement","King Edward Park",382.51
Darwin,"Soil Quality Test","Newcastle Beach",382.5
Adelaide,"Noise Level Measurement","Braye Park",382.47
Melbourne,"Water Quality Test","Glenrock State Conservation Area",382.29
Brisbane,"Water Quality Test","Hunter Wetlands Centre",382.24
Sydney,"Soil Quality Test","Merewether Beach",382.23
Melbourne,"Noise Level Measurement","Jesmond Park",382.22
Brisbane,"Noise Level Measurement","Merewether Beach",382.17
Canberra,"Noise Level Measurement","Watagan Mountains",382.14
Brisbane,"Air Quality Check","Mount Sugarloaf",382.12
Sydney,"Air Quality Check","Lambton Park",382.08
Brisbane,"Water Quality Test","Nobbys Beach",382.07
Melbourne,"Soil Quality Test","Richley Reserve",382.05
Hobart,"Water Quality Test","King Edward Park",381.96
Hobart,"Water Quality Test","Newcastle Beach",381.91
Canberra,"Water Quality Test","Nobbys Beach",381.83
Hobart,"Air Quality Check","Toronto Foreshore",381.82
Newcastle,"Soil Quality Test","Croudace Bay Park",381.8
Canberra,"Soil Quality Test","Warners Bay Foreshore",381.63
"Gold Coast","Air Quality Check","Hunter Wetlands Centre",381.56
"Gold Coast","Soil Quality Test","Braye Park",381.53
"Gold Coast","Water Quality Test","Awaba State Forest",381.49
Melbourne,"Water Quality Test","Heaton State Forest",381.48
Newcastle,"Noise Level Measurement","Glenrock State Conservation Area",381.46
Adelaide,"Soil Quality Test","Toronto Foreshore",381.45
Darwin,"Noise Level Measurement","Awaba State Forest",381.37
Sydney,"Air Quality Check","Awaba State Forest",381.36
Melbourne,"Soil Quality Test","Waratah Park",381.32
Perth,"Soil Quality Test","Warners Bay Foreshore",381.26
Canberra,"Noise Level Measurement","Jesmond Park",381.23
Brisbane,"Noise Level Measurement","Merewether Beach",381.19
Perth,"Soil Quality Test","Waratah Park",381.14
Perth,"Soil Quality Test","Jesmond Park",381.11
Adelaide,"Noise Level Measurement","Speers Point Park",381.09
Newcastle,"Soil Quality Test","Richley Reserve",381.08
Newcastle,"Noise Level Measurement","Nobbys Beach",381.08
Sydney,"Noise Level Measurement","King Edward Park",381.06
Sydney,"Soil Quality Test","Belmont Wetlands State Park",380.98
Darwin,"Noise Level Measurement","Merewether Beach",380.93
Sydney,"Water Quality Test","Richley Reserve",380.92
Canberra,"Air Quality Check","Charlestown Park",380.9
Perth,"Air Quality Check","Newcastle Beach",380.86
Darwin,"Noise Level Measurement","King Edward Park",380.84
Perth,"Noise Level Measurement","Blackbutt Nature Reserve",380.81
Hobart,"Noise Level Measurement","Speers Point Park",380.79
Melbourne,"Noise Level Measurement","Richley Reserve",380.75
Canberra,"Soil Quality Test","Richley Reserve",380.73
Darwin,"Soil Quality Test","Braye Park",380.71
Perth,"Noise Level Measurement","Jesmond Park",380.69
Adelaide,"Soil Quality Test","Merewether Beach",380.68
Sydney,"Air Quality Check","Mount Sugarloaf",380.67
"Gold Coast","Noise Level Measurement","King Edward Park",380.62
Adelaide,"Water Quality Test","Braye Park",380.54
Darwin,"Soil Quality Test","Speers Point Park",380.53
Brisbane,"Air Quality Check","Merewether Beach",380.52
Adelaide,"Air Quality Check","King Edward Park",380.52
Brisbane,"Air Quality Check","Redhead Beach",380.48
Adelaide,"Water Quality Test","Toronto Foreshore",380.46
Newcastle,"Air Quality Check","Waratah Park",380.46
Canberra,"Air Quality Check","Charlestown Park",380.44
Sydney,"Soil Quality Test","Belmont Wetlands State Park",380.44
Darwin,"Noise Level Measurement","Mount Sugarloaf",380.43
Canberra,"Water Quality Test","Watagan Mountains",380.42
Melbourne,"Noise Level Measurement","Charlestown Park",380.42
"Gold Coast","Air Quality Check","Lambton Park",380.41
Hobart,"Water Quality Test","Watagan Mountains",380.32
Adelaide,"Noise Level Measurement","King Edward Park",380.31
Sydney,"Water Quality Test","Toronto Foreshore",380.3
Sydney,"Soil Quality Test","Belmont Wetlands State Park",380.29
Darwin,"Noise Level Measurement","Lambton Park",380.26
Perth,"Soil Quality Test","King Edward Park",380.25
Sydney,"Air Quality Check","Merewether Beach",380.23
Newcastle,"Noise Level Measurement","Heaton State Forest",380.19
Hobart,"Air Quality Check","King Edward Park",380.06
Adelaide,"Noise Level Measurement","Richley Reserve",380.05
Brisbane,"Air Quality Check","Speers Point Park",379.99
Perth,"Water Quality Test","Heaton State Forest",379.83
Sydney,"Noise Level Measurement","Belmont Wetlands State Park",379.83
Adelaide,"Soil Quality Test","Lambton Park",379.81
Melbourne,"Air Quality Check","Croudace Bay Park",379.81
Hobart,"Noise Level Measurement","Jesmond Park",379.78
Brisbane,"Soil Quality Test","Belmont Wetlands State Park",379.73
Darwin,"Water Quality Test","Hunter Wetlands Centre",379.72
Adelaide,"Water Quality Test","Braye Park",379.71
Brisbane,"Soil Quality Test","Merewether Beach",379.67
Perth,"Air Quality Check","Nobbys Beach",379.66
Brisbane,"Noise Level Measurement","Speers Point Park",379.66
Sydney,"Soil Quality Test","Redhead Beach",379.66
Adelaide,"Water Quality Test","Speers Point Park",379.65
Adelaide,"Noise Level Measurement","Belmont Wetlands State Park",379.6
Hobart,"Soil Quality Test","Charlestown Park",379.54
Canberra,"Noise Level Measurement","Jesmond Park",379.53
Brisbane,"Soil Quality Test","Lambton Park",379.51
Sydney,"Noise Level Measurement","Merewether Beach",379.43
Melbourne,"Noise Level Measurement","Charlestown Park",379.42
Hobart,"Water Quality Test","Charlestown Park",379.41
Adelaide,"Air Quality Check","Belmont Wetlands State Park",379.4
Adelaide,"Noise Level Measurement","King Edward Park",379.38
Adelaide,"Noise Level Measurement","Hunter Wetlands Centre",379.29
Hobart,"Air Quality Check","Newcastle Beach",379.12
Sydney,"Air Quality Check","King Edward Park",379.08
Newcastle,"Water Quality Test","Heaton State Forest",379.05
Hobart,"Air Quality Check","Watagan Mountains",379.05
Canberra,"Noise Level Measurement","Watagan Mountains",378.98
Adelaide,"Soil Quality Test","Awaba State Forest",378.89
Newcastle,"Soil Quality Test","Heaton State Forest",378.88
"Gold Coast","Water Quality Test","Braye Park",378.76
Brisbane,"Noise Level Measurement","Hunter Wetlands Centre",378.75
Darwin,"Noise Level Measurement","Belmont Wetlands State Park",378.72
Melbourne,"Water Quality Test","Warners Bay Foreshore",378.72
Adelaide,"Air Quality Check","Awaba State Forest",378.72
"Gold Coast","Noise Level Measurement","King Edward Park",378.6
Darwin,"Water Quality Test","Hunter Wetlands Centre",378.58
Adelaide,"Soil Quality Test","Mount Sugarloaf",378.53
Melbourne,"Noise Level Measurement","Newcastle Beach",378.52
Melbourne,"Noise Level Measurement","Heaton State Forest",378.5
Adelaide,"Water Quality Test","Merewether Beach",378.44
Sydney,"Air Quality Check","Warners Bay Foreshore",378.44
Darwin,"Air Quality Check","Braye Park",378.42
Melbourne,"Air Quality Check","Warners Bay Foreshore",378.36
Adelaide,"Soil Quality Test","King Edward Park",378.3
Darwin,"Air Quality Check","King Edward Park",378.26
Adelaide,"Water Quality Test","Nobbys Beach",378.24
Darwin,"Noise Level Measurement","Mount Sugarloaf",378.14
Sydney,"Water Quality Test","Lambton Park",378.12
Canberra,"Water Quality Test","Newcastle Beach",378.11
Newcastle,"Noise Level Measurement","Nobbys Beach",378.02
Newcastle,"Air Quality Check","Richley Reserve",378.02
Brisbane,"Soil Quality Test","Belmont Wetlands State Park",378.02
Perth,"Soil Quality Test","Glenrock State Conservation Area",377.87
Sydney,"Soil Quality Test","Redhead Beach",377.8
Sydney,"Air Quality Check","Merewether Beach",377.7
Darwin,"Air Quality Check","King Edward Park",377.69
Sydney,"Noise Level Measurement","Lambton Park",377.67
Canberra,"Soil Quality Test","Croudace Bay Park",377.57
Brisbane,"Air Quality Check","Toronto Foreshore",377.54
Adelaide,"Noise Level Measurement","King Edward Park",377.53
Newcastle,"Soil Quality Test","Blackbutt Nature Reserve",377.52
Adelaide,"Air Quality Check","Hunter Wetlands Centre",377.5
Adelaide,"Water Quality Test","King Edward Park",377.45
Perth,"Air Quality Check","Blackbutt Nature Reserve",377.41
Darwin,"Soil Quality Test","Belmont Wetlands State Park",377.39
Brisbane,"Air Quality Check","Speers Point Park",377.35
Canberra,"Water Quality Test","Glenrock State Conservation Area",377.35
Canberra,"Air Quality Check","Croudace Bay Park",377.33
Brisbane,"Soil Quality Test","Toronto Foreshore",377.29
Melbourne,"Soil Quality Test","Richley Reserve",377.27
"Gold Coast","Air Quality Check","Toronto Foreshore",377.26
"Gold Coast","Air Quality Check","Belmont Wetlands State Park",377.17
Perth,"Soil Quality Test","Jesmond Park",377.1
Melbourne,"Water Quality Test","Glenrock State Conservation Area",376.99
Brisbane,"Air Quality Check","Braye Park",376.98
Newcastle,"Noise Level Measurement","Blackbutt Nature Reserve",376.96
"Gold Coast","Air Quality Check","Awaba State Forest",376.96
Hobart,"Soil Quality Test","Jesmond Park",376.86
Adelaide,"Soil Quality Test","Merewether Beach",376.82
Sydney,"Soil Quality Test","Merewether Beach",376.77
Sydney,"Noise Level Measurement","King Edward Park",376.74
Perth,"Air Quality Check","Glenrock State Conservation Area",376.68
Darwin,"Soil Quality Test","Merewether Beach",376.64
Hobart,"Water Quality Test","Richley Reserve",376.64
Newcastle,"Air Quality Check","Waratah Park",376.64
Hobart,"Water Quality Test","Newcastle Beach",376.47
Newcastle,"Soil Quality Test","Waratah Park",376.46
Hobart,"Soil Quality Test","Nobbys Beach",376.46
Hobart,"Noise Level Measurement","Croudace Bay Park",376.41
Canberra,"Water Quality Test","Warners Bay Foreshore",376.39
Hobart,"Air Quality Check","Croudace Bay Park",376.39
Sydney,"Noise Level Measurement","King Edward Park",376.35
Adelaide,"Soil Quality Test","Awaba State Forest",376.35
